epoch,acc,loss,val_acc,val_loss
0,0.9698940156099238,0.07851311600672141,0.9820574529400944,0.04806338785175325
1,0.9831161109485744,0.04529464247065252,0.9846595438101662,0.0417335607146809
2,0.9857001292952935,0.038507135418736065,0.985475810901956,0.03877874196264798
3,0.986828867769609,0.0349794728073539,0.9869703844503035,0.03630151368929009
4,0.9879255183608754,0.03244211145013544,0.9864951867067263,0.03676294070042283
5,0.9885899262922451,0.030657918226862577,0.9866216506223557,0.03572716517113267
6,0.9889277928255269,0.029352751900471357,0.9871083450855356,0.035035732780691706
7,0.9890787946281109,0.02868616599301306,0.9870700226868601,0.035993588002186085
8,0.9895015996753461,0.02809595334383842,0.9865526703047397,0.037326635447831685
9,0.9898564539114185,0.027237539905701397,0.9869358942914955,0.036286641755866704
10,0.989903641974726,0.026856956879311958,0.9867366178183825,0.03730485242916789
11,0.9900772940476977,0.026495733155342743,0.9869473910110982,0.036457923937990494
12,0.9899602676506951,0.026656983158350408,0.9865603347844748,0.03775527860745729
13,0.9899508300380335,0.026652391215490956,0.9864223741492427,0.038605126318527846
14,0.9899772553534858,0.026751873128569647,0.9864108774296401,0.0380419157915051
15,0.9900206683717286,0.02679456601682933,0.9869014041326875,0.03652257993203801
16,0.9900697439575685,0.026461673085037708,0.9862882457538782,0.03817766010904857
